Country,Country code,Cluster1990,Cluster2015,Flow_1990_2015,Transition_Types,AA,AB,BA,BB,BC,CB,CC,CD,DB,DC,DD,agriculture add(%gdp),CO2(ton),"Industry, value added (% of GDP)",population,unemployment rate,"Agriculture, value added (% of GDP)","Agriculture, value added (current US$)",Agriculture value added per worker (constant 2010 US$),"Industry, value added (% of GDP)","Industry, value added (current US$)",CO2 emissions (metric tons per capita),"Population, total",Population growth (annual %),"Population, female (% of total)","Population, male (% of total)","Unemployment, total (% of total labor force) (modeled ILO estimate)","Unemployment, total (% of total labor force) (national estimate)","Air transport, passengers carried","Air transport, freight (million ton-km)","Air transport, registered carrier departures worldwide","International tourism, number of arrivals","International tourism, number of departures","International tourism, receipts (current US$)","International tourism, expenditures (current US$)","International tourism, expenditures (% of total imports)","International tourism, receipts (% of total exports)",Exports of goods and services (% of GDP),Exports of goods and services (annual % growth),Exports of goods and services (current US$),Imports of goods and services (% of GDP),Imports of goods and services (annual % growth),Imports of goods and services (current US$),Renewable internal freshwater resources per capita (cubic meters),"Improved water source, rural (% of rural population with access)",Improved water source (% of population with access),Improved sanitation facilities (% of population with access),"Improved sanitation facilities, rural (% of rural population with access)",Mobile cellular subscriptions,Mobile cellular subscriptions (per 100 people),Fixed broadband subscriptions,Fixed broadband subscriptions (per 100 people),Individuals using the Internet (% of population),Secure Internet servers (per 1 million people),Researchers in R&D (per million people),"Patent applications, residents","Patent applications, nonresidents",Rail lines (total route-km),"Railways, goods transported (million ton-km)","Railways, passengers carried (million passenger-km)",Urban population (% of total),Urban population growth (annual %),Oil rents (% of GDP)
Chile,CHL,ClusterB_1990,ClusterA_2015,B_1990-A_2015,BA,0,0,1,0,0,0,0,0,0,0,0,5.730392933,3.679951614,37.89500854,15724397.22,7.139080029,5.730392933,5496660980,6192.026981,37.89500854,43204832324,3.679951614,15640345.04,1.192953491,50.5557826,49.4442174,7.139080029,6.530769238,6518843.615,1087.127104,91687.07692,2370380.95,2082825,1972523810,1555714286,3.850132905,4.446724224,33.28395366,5.837141247,44525332030,30.04468525,8.697370673,40059815389,56106.8289,72.47692308,95.45384615,92.91538462,73.23076923,9254707.04,54.38196171,1291850.13,7.499505002,25.42744405,54.47556793,362.8593389,290.27,2149.15,5906.714286,3073.876773,844.21,86.59188462,1.477614129,0.056726282
China,CHN,ClusterC_1990,ClusterB_2015,C_1990-B_2015,CB,0,0,0,0,0,1,0,0,0,0,0,14.46755552,4.173270092,45.26076085,1276308704,4.418760004,14.46755552,3.51767E+11,906.7174953,45.26076085,1.48593E+12,4.173270092,1272371923,0.782993282,48.5992721,51.4007279,4.418760004,3.525999956,145089453.8,7550.179129,1326014.385,42340428.57,40667428.57,36227333333,55407047619,6.158484897,5.284246598,23.58102671,0,8.49831E+11,20.00632395,0,7.27164E+11,2196.249551,74.52692308,82.63461538,61.93076923,51.96923077,411115961.8,30.20430037,94108441.88,6.861997679,15.37026213,2.328815176,804.5016245,186115.5,57291.12,60211.19231,1743361.077,536492.38,39.95292308,3.751858917,1.699895621
Colombia,COL,ClusterB_1990,ClusterB_2015,B_1990-B_2015,BB,0,0,0,1,0,0,0,0,0,0,0,10.5476296,1.578036679,33.28433862,41919779.11,12.05804008,10.5476296,13002031088,5153.760091,33.28433862,52052562556,1.578036679,41660792.96,1.387311211,50.57404258,49.42595742,12.05804008,11.41318187,12363123.52,867.850296,205274.91,1448142.86,1943650,2473285714,2464761905,7.633330545,8.109603263,16.72968534,5.181377454,27649288072,19.15921698,9.452216525,32699657743,51066.3894,71.48461538,90.1,75.63461538,54.94230769,19399873.08,41.83013822,1956979.38,4.118869483,18.2575604,18.04388366,129.9348247,133.6,1398.88,1979.428571,5586.8,141,72.72311538,1.8511567,3.638854029
Comoros,COM,ClusterD_1990,ClusterC_2015,D_1990-C_2015,DC,0,0,0,0,0,0,0,0,0,1,0,0,0.186723297,0,590593.5926,20.10556007,0,143407118.7,937.9375979,0,41819095.35,0.186723297,582708.69,2.559391409,49.68181935,50.31818065,20.10556007,19.95000076,26371.42857,0,1028.571429,21480.95,0,24805555.56,24663636.36,12.15028923,41.90246172,16.84589767,6.883754481,60428378.27,41.98467092,5.391868887,163786200,2059.262086,88.50384615,90.1,27.04615385,21.91538462,83066.62,11.56403427,646.18,0.087706893,2.717284342,2.276337317,0,0,0,0,0,0,28.08669231,2.686250768,0
"Congo, Dem. Rep.",COD,ClusterD_1990,ClusterD_2015,D_1990-D_2015,DD,0,0,0,0,0,0,0,0,0,0,1,33.31144359,0.042232828,28.08239053,53641907.74,3.650199976,33.31144359,3944889856,350.812279,28.08239053,4299390963,0.042232828,52676744.46,3.164629989,50.36988177,49.63011823,3.650199976,3.680000067,262786.5319,16.00489984,5652.141822,72789.47,50000,10418181.82,143454545.5,1.558564655,0.13205797,26.36790921,8.082388534,4278261855,29.12613214,7.864520043,4969514111,17225.62073,27.57692308,48.00384615,23.67692308,20.73076923,8165384.04,12.48953952,487.5,0.000697747,0.711765967,0.188231419,0,0,0,4040.470588,357.1923077,70.19,36.38784615,4.477917613,1.783530835
"Congo, Rep.",COG,ClusterC_1990,ClusterC_2015,C_1990-C_2015,CC,0,0,0,0,0,0,1,0,0,0,0,7.034721793,0.43411402,60.53467098,3628201.222,12.31300003,7.034721793,334345996.9,751.6642397,60.53467098,4199768170,0.43411402,3570600.46,2.85987049,50.05026786,49.94973214,12.31300003,13.05000019,298338.6106,9.460035176,6596.843882,85285.71,170500,34327040.56,135388888.9,5.127966433,0.792296115,71.56729874,2.922454612,4718472795,55.33513734,11.1795378,3625377933,62593.22207,35.44210526,72.27368421,13.63684211,5.6,1415038.8,33.44911754,669.33,0.015524618,2.611040154,0.877073089,42.03714,0,21,748.9230769,262.6894737,233.95,59.83592308,3.602152473,40.8919889
Costa Rica,CRI,ClusterB_1990,ClusterB_2015,B_1990-B_2015,BB,0,0,0,1,0,0,0,0,0,0,0,9.999747198,1.497325843,27.05417599,4065688.519,6.525079975,9.999747198,1751600990,6350.54689,27.05417599,5391763714,1.497325843,4035242.92,1.78976796,49.81060084,50.18939916,6.525079975,6.217307659,1024122.057,29.94143044,31158.75827,1620095.24,511714.29,1881523810,541571428.6,6.126679023,19.80846316,37.65022301,6.098651187,8356465863,41.13309631,6.198283732,9090268641,27846.0536,89.39615385,95.56538462,91.93846154,87.83076923,1744277.04,36.85704817,242262,5.067477618,20.41347996,80.91326192,303.561427,17.5,536.5,418,0,0,62.94534615,3.512318688,0
Cote d'Ivoire,CIV,ClusterC_1990,ClusterD_2015,C_1990-D_2015,CD,0,0,0,0,0,0,0,1,0,0,0,23.1217939,0.399792397,30.4207809,17753985.74,9.232040024,23.1217939,4238427144,2414.758246,30.4207809,4206569273,0.399792397,17525449.85,2.572229277,48.60328224,51.39671776,9.232040024,16.00500011,193343.4362,11.33576432,3918.715722,413444.44,0,120825000,473450000,6.163985755,1.300768263,42.67978666,3.326667812,7718391758,35.42263087,7.240620614,6477018991,4376.803851,67.76153846,78.74230769,18.53461538,8.480769231,6193972.88,31.67436789,34680.91,0.169989469,3.407443943,1.098757363,69.98405,26,1,644.5714286,460.9375,150.29,45.7875,3.839020932,1.524380493
Croatia,HRV,ClusterA_1990,ClusterB_2015,A_1990-B_2015,AB,0,1,0,0,0,0,0,0,0,0,0,5.517789208,4.443103894,28.66955214,4445956.63,12.58340004,5.517789208,1874178446,21051.78135,28.66955214,10206077906,4.443103894,4456547.27,-0.376942864,51.76233182,48.23766818,12.58340004,13.89269238,1258633.764,2.485786249,18708.16,7515761.9,2569375,6525357143,795714285.7,4.729067619,37.35523935,37.6616801,5.211449341,16637768585,42.21194343,4.819996698,18274468562,8566.411373,97.34615385,98.67307692,97.21923077,96.08076923,2389758.54,54.96896515,585025.54,13.56234187,28.731285,126.1674395,1482.785677,301.88,353.67,2680.694167,2462.923077,1305.69,56.19507692,-0.123363492,0.281318893
Cuba,CUB,ClusterA_1990,ClusterB_2015,A_1990-B_2015,AB,0,1,0,0,0,0,0,0,0,0,0,6.505989684,2.631460535,22.78120541,11152507.96,3.796999984,6.505989684,2348495690,3608.891051,22.78120541,9944241483,2.631460535,11140066.65,0.341915715,49.80178104,50.19821896,3.796999984,3.922105262,979751.7184,32.29544252,14018.85665,2066333.33,187000,2141285714,0,0,0,18.09342313,5.42660997,8578052766,18.70426779,2.469596763,8267170034,3410.733364,81.42272727,91.96363636,87.85769231,79.55,517828.73,4.596594834,4613.89,0.040942711,10.31648454,0.183156373,0,67.56,102.83,4871.5,950.7694237,1377.5,75.51803846,0.556692368,0.864724856
Cyprus,CYP,ClusterA_1990,ClusterA_2015,A_1990-A_2015,AA,1,0,0,0,0,0,0,0,0,0,0,3.809403831,6.789850683,19.56545492,987474.4444,7.664960032,3.809403831,453348032.5,17130.73496,19.56545492,2554363168,6.789850683,980449.42,1.675230089,49.63209188,50.36790812,7.664960032,5.549230777,1375652.866,34.00309585,12935.23077,2362619.05,865904.76,2447238095,1094095238,11.32839037,31.34824357,57.70077864,3.15149426,8924050480,59.60193122,2.867180534,9278418024,790.8751377,100,100,100,100,533941.77,59.68957429,127464.33,14.83051837,29.23187003,451.5479782,832.67005,7.36,30.07,0,0,0,67.88296154,1.707553927,0
Czech Republic,CZE,ClusterA_1990,ClusterA_2015,A_1990-A_2015,AA,1,0,0,0,0,0,0,0,0,0,0,2.983721989,11.44609927,37.78554872,10348708.19,6.032800045,2.983721989,3093962530,9170.059812,37.78554872,44360880759,11.44609927,10340518.77,0.068065059,51.22340016,48.77659984,6.032800045,5.800384629,3120361.232,26.0336224,47273.82992,6073714.29,7037538.46,5764571429,3180238095,4.473513446,8.348980617,54.3970471,8.538241374,74756532464,53.04670263,8.94676392,71738321369,1268.619599,99.73076923,99.86538462,99.1,99.25769231,7234411.54,69.20049232,1477096,13.95927786,34.84864818,284.1380354,2239.504809,709.61,1784.7,9463.240435,16507.56522,7114.91,73.92373077,-0.049061137,0.024992161
Denmark,DNK,ClusterA_1990,ClusterA_2015,A_1990-A_2015,AA,1,0,0,0,0,0,0,0,0,0,0,2.200862786,9.644228927,25.26109683,5402073.741,6.163960047,2.200862786,3982771619,38134.04669,25.26109683,50756271602,9.644228927,5389418.19,0.392127172,50.48775778,49.51224222,6.163960047,6.247692347,5077367.118,143.1929415,91291.11765,6310380.95,6190150,5157952381,7199571429,6.803762418,4.483239542,45.04953668,4.101959948,1.11337E+11,39.28311741,4.503348767,97881401547,1107.74006,100,100,99.6,99.6,4015682.81,73.20623955,1559850.81,28.17438529,52.47594239,1216.849759,5551.61182,1487.96,264.08,2211.96,1860.6,5734.15,85.80242308,0.521450483,0.831418415
Djibouti,DJI,ClusterC_1990,ClusterC_2015,C_1990-C_2015,CC,0,0,0,0,0,0,1,0,0,0,0,3.487340813,0.54060565,16.43883796,756306.6296,6.854039974,3.487340813,17501933.74,0,16.43883796,81725552.66,0.54060565,749151.77,1.913796077,49.73529574,50.26470426,6.854039974,59,130500,0.100000002,3900,35178.95,0,12038095.24,17785714.29,4.127824731,3.574436822,42.09958539,-1.477945663,239599459.6,57.54772168,-1.293825679,326058103.6,397.2767773,62.71153846,84.03461538,56.73461538,24.57692308,72815.77,8.556069607,7519.71,0.866178735,3.034825878,4.766947554,0,1,3,781,97,82,76.65376923,1.993688573,0
Dominica,DMA,ClusterB_1990,ClusterB_2015,B_1990-B_2015,BB,0,0,0,1,0,0,0,0,0,0,0,16.61819914,1.444215558,17.49566128,71118.2963,21.5,16.61819914,46120639.6,9676.547795,17.49566128,49061427.35,1.444215558,71025.04,0.102283186,0,0,0,14.9525001,0,0,0,73928.57,0,70238095.24,10047619.05,4.827572386,43.9493088,42.70247222,1.926411033,141269574.1,57.57065313,-0.283024749,194003945.9,2808.703848,91.8,94.45384615,81.1,84.3,40756.92,57.17790457,6070.38,8.490953332,29.65443186,297.879007,0,0,2,0,0,0,66.31234615,0.57792266,0
Dominican Republic,DOM,ClusterB_1990,ClusterB_2015,B_1990-B_2015,BB,0,0,0,1,0,0,0,0,0,0,0,8.159387733,2.025426243,31.38365434,8954722.704,15.96228004,8.159387733,2124756454,5156.92747,31.38365434,9056578808,2.025426243,8889566.23,1.546348182,49.93243202,50.06756798,15.96228004,15.256,139627.2616,8.577777942,2722.135,3538447.62,378285.71,3548666667,510238095.2,5.047088887,42.57130664,31.98199174,6.270188979,9411874344,38.4660629,4.864879154,11753222391,2621.822931,78.82692308,86.43846154,78.62307692,68.61538462,3528631.04,35.45035983,311933.15,3.057032014,17.60178245,13.96752841,0,15.75,249,0,0,0,65.48580769,2.941271432,0
Ecuador,ECU,ClusterB_1990,ClusterB_2015,B_1990-B_2015,BB,0,0,0,1,0,0,0,0,0,0,0,14.75357562,2.064029479,32.21569785,13302575.11,7.703199949,14.75357562,5158375505,4602.197147,32.21569785,14586791467,2.064029479,13184017.69,1.850965493,49.88585182,50.11414818,7.703199949,7.639615325,2555226.012,47.78598957,35880.15087,883714.29,718666.67,661476190.5,645476190.5,5.283429824,5.347012067,25.38570926,4.509452003,11821849493,26.66480048,5.628880405,12558178329,33319.61594,68.70384615,80.83076923,72.06923077,59.46923077,5848986.54,39.02219302,418677.47,2.673810425,12.66677865,14.11775779,139.304882,9.74,427.74,0,0,0,60.37369231,2.466303764,9.279580181
Egypt,EGY,ClusterC_1990,ClusterB_2015,C_1990-B_2015,CB,0,0,0,0,0,1,0,0,0,0,0,15.24736764,1.943010407,34.86802839,74839284.52,10.24759998,15.24736764,17397261882,3629.715323,34.86802839,46001266410,1.943010407,74037384.65,1.982550239,49.61936993,50.38063007,10.24759998,10.27210522,5620495.125,250.0137202,54343.12355,7622538.1,4103000,6988857143,2163809524,5.724530483,23.40125575,21.97698993,6.236041009,26593302583,27.68072156,5.733923979,34544389159,24.12058988,94.95,96.47307692,86.33461538,79.83076923,27732842.88,34.8580664,1290385.36,1.597101228,11.49796422,1.917855349,548.3666044,486.04,1008.43,5046.863636,3525.267077,38436.12,42.98603846,1.940339816,7.785796819
El Salvador,SLV,ClusterB_1990,ClusterB_2015,B_1990-B_2015,BB,0,0,0,1,0,0,0,0,0,0,0,12.43103213,0.946824537,29.16819471,5906885,7.010319977,12.43103213,1690171538,3362.207598,29.16819471,4104002692,0.946824537,5890045.12,0.756063898,52.04854357,47.95145643,7.010319977,7.129999995,1905366.812,18.56884736,22504.58758,949714.29,1091800,624000000,256238095.2,4.088709527,16.15718525,24.15659889,7.31448983,3879493462,40.42874488,7.501721065,6506297308,2637.376642,68.58076923,83.16538462,64,45.33461538,3281039.85,52.57749387,161159.54,2.56423848,8.556496894,12.33687908,65.28925,8.71,116.5,0,0,0,59.30726923,1.966251953,0
Equatorial Guinea,GNQ,ClusterD_1990,ClusterB_2015,D_1990-B_2015,DB,0,0,0,0,0,0,0,0,1,0,0,1.262384941,3.435317575,75.98503551,744475.2222,6.870719986,1.262384941,209385108.9,1110.226283,75.98503551,13160201304,3.435317575,726128.5,4.012135323,47.61005015,52.38994985,6.870719986,0,114625.5231,0.217985996,4775.223363,0,0,5628571.43,13000000,3.148488762,1.641225917,84.45134806,27.48043753,5917195235,147.6124928,24.84602433,4001194263,37213.82534,36.84090909,47.43181818,78.07727273,76.56363636,147824.77,20.62613482,1464.55,0.19445458,4.908792908,1.682491771,0,0,0,0,0,0,38.62334615,4.657623858,35.59325822
Eritrea,ERI,ClusterD_1990,ClusterD_2015,D_1990-D_2015,DD,0,0,0,0,0,0,0,0,0,0,1,20.0191233,0.189476256,20.10501602,3597136.045,7.40776001,20.0191233,159818130.1,0,20.10501602,172050573.6,0.189476256,3597136.05,1.709921852,49.9938235,50.0061765,7.40776001,0,53074.43,0,539,142352.94,0,57866666.67,0,0,38.07699207,13.35209229,16.31012468,113134604.2,57.60277922,0.368230641,489796595,778.1609751,48.60384615,52.40384615,12.27692308,3.496153846,93703.23,1.538195904,175.5,0.00278908,0.353431873,0,0,0,0,0,0,0,17.93022727,3.026685745,0
Estonia,EST,ClusterB_1990,ClusterA_2015,B_1990-A_2015,BA,0,0,1,0,0,0,0,0,0,0,0,4.039622633,12.75894979,29.01331475,1389111.63,9.084240069,4.039622633,459424794.5,7589.149264,29.01331475,3669687254,12.75894979,1391905.12,-0.675916696,53.45049054,46.54950946,9.084240069,8.75923071,421114.0068,1.268806422,10017.55877,1774761.9,1331842.11,1116666667,575952381,5.479175507,13.68550631,69.55656562,7.302835737,9793441210,73.05279944,8.557853313,9993546544,9224.113987,97.78461538,99.17307692,97.03076923,96.03846154,940976.73,71.82335768,250307.13,19.24493,42.19420977,410.4189374,2705.694782,31.5,233,944.44,6416.72,409.83,69.17903846,-0.890598525,0.151529733
Ethiopia,ETH,ClusterD_1990,ClusterC_2015,D_1990-C_2015,DC,0,0,0,0,0,0,0,0,0,1,0,49.21632842,0.067730792,11.51905826,73555374.81,5.674799976,49.21632842,8591822053,338.5857529,11.51905826,2245681765,0.067730792,72445843.23,2.943582226,50.11759824,49.88240176,5.674799976,15.24599996,2158074.118,275.7863462,37089.85846,333809.52,126500,665944444.4,88500000,2.216352245,25.99320201,12.78863169,-4.620779512,5950646990,30.3113353,17.11402563,14660472339,1562.042497,24.06923077,33.79230769,12.76538462,10.93461538,5721320.15,6.09156256,93291.62,0.096410675,1.407050902,0.101999245,32.08617,3.63,10.8,781,50,157,15.52230769,4.685487396,0
Fiji,FJI,ClusterC_1990,ClusterC_2015,C_1990-C_2015,CC,0,0,0,0,0,0,1,0,0,0,0,15.65519483,1.16166804,21.92727577,818573.7407,7.342960014,15.65519483,321661797.7,2645.835478,21.92727577,465973646.6,1.16166804,815489.65,0.799924074,49.10575899,50.89424101,7.342960014,6.946249992,800032.617,67.41832646,38534.97253,505142.86,102055.56,640571428.6,99380952.38,6.046259338,39.76434169,57.20753545,0.534462227,1470883290,63.50842106,6.455404548,1662374095,34744.50449,86.35384615,91.55769231,77.38461538,66.50769231,301442.77,34.94384551,13542.27,1.572428001,11.72195613,23.95921942,0,0,0,0,0,0,48.55326923,1.854343871,0
Finland,FIN,ClusterA_1990,ClusterA_2015,A_1990-A_2015,AA,1,0,0,0,0,0,0,0,0,0,0,3.444286645,10.82879983,32.06879102,5236599.037,10.54096001,3.444286645,5088005519,44635.92554,32.06879102,50409482873,10.82879983,5226656.85,0.379741964,51.11990599,48.88009401,10.54096001,10.25230772,7134930.475,373.9637858,116199.9391,2220428.57,6313571.43,3304428571,3931285714,5.862323788,4.294065778,36.72984707,5.135821111,69125104626,32.789116,4.108076707,63208347202,20366.86358,100,100,97.43461538,88.10769231,4450653.85,83.84595036,1197437.31,22.37645288,51.326015,907.3962795,7158.496577,1993.54,801.5,5877.884615,9519.230769,3525.73,82.28330769,0.640955792,0
France,FRA,ClusterA_1990,ClusterA_2015,A_1990-A_2015,AA,1,0,0,0,0,0,0,0,0,0,0,2.224017149,5.839888531,22.4544571,62411292.56,10.21964001,2.224017149,37284269348,53258.55095,22.4544571,3.89683E+11,5.839888531,62238799.62,0.52106846,50.94207959,49.05792041,10.21964001,9.855384515,50488143.6,4933.466293,657446.2318,75801095.24,22215333.33,49724571429,37288571429,6.343358444,8.559846365,25.51979098,4.481383041,5.1796E+11,25.45297874,4.524982582,5.24943E+11,3192.501355,100,100,98.7,98.9,33921006,54.40057304,13005998.94,20.53119298,36.80702447,274.7950765,3371.142225,13711.73,2945.85,31349.56,42479.34615,73201.54,76.61076923,0.800373762,0.010049267
Gabon,GAB,ClusterC_1990,ClusterB_2015,C_1990-B_2015,CB,0,0,0,0,0,1,0,0,0,0,0,4.980819903,3.652268396,58.20383212,1384343.407,18.3311599,4.980819903,465076533.3,2853.762229,58.20383212,4943541199,3.652268396,1361441.77,2.822385523,49.97077641,50.02922359,18.3311599,18.35999997,381533.7016,39.67720833,7705.686394,188818.18,200333.33,84909090.91,217454545.5,11.56091571,2.830579036,55.64157578,1.337789419,5149641328,31.99278521,3.314999657,2833181272,120735.5418,49.81818182,86.98636364,39.82727273,33.68181818,845105.73,53.56747518,4335.15,0.267136368,10.15011096,5.999340613,0,0,0,767.2608696,1773.6,90.62,80.53369231,3.788749261,29.98058259
Gambia,GMB,ClusterC_1990,ClusterC_2015,C_1990-C_2015,CC,0,0,0,0,0,0,1,0,0,0,0,25.79399586,0.210336546,15.05400969,1401537.111,29.67072006,25.79399586,169711732.6,360.6203489,15.05400969,111522176.7,0.210336546,1377038.5,3.109307526,50.24405172,49.75594828,29.67072006,29.76000023,52146.58667,0.77454489,635.1853333,108142.86,347000,82700000,16281250,3.585576478,30.9793647,25.41830555,3.175929816,187262501.5,38.0489897,3.226224858,283727322.1,2197.85407,77.82307692,83.98846154,59.4625,58.225,603507.96,34.64263044,819.73,0.044110807,5.415880309,3.221098299,80.13554667,0,0,0,0,0,49.78430769,4.92156068,0
Georgia,GEO,ClusterB_1990,ClusterB_2015,B_1990-B_2015,BB,0,0,0,1,0,0,0,0,0,0,0,23.96381255,1.430341412,23.79437074,4288692.593,13.24652,23.96381255,1124889927,2695.742694,23.79437074,1615505628,1.430341412,4310592.31,-0.985997644,52.53618821,47.46381179,13.24652,12.68500001,204474.7545,2.319081082,3414.127273,1636190.48,1352900,668894736.8,298789473.7,8.143374443,19.31232318,32.14795735,10.89516648,2603590129,51.95869905,9.803590488,4017321047,13855.36154,84.40384615,91.55,93.45769231,90.45384615,1649962.65,37.65970454,199282.2,4.585333818,13.28718661,17.67155989,969.8385667,238.63,222,1551.8,5066.102,640.65,53.2335,-1.101547488,0.259148637
Germany,DEU,ClusterA_1990,ClusterA_2015,A_1990-A_2015,AA,1,0,0,0,0,0,0,0,0,0,0,0.92913287,10.00773665,31.1303909,81634313.89,7.862279987,0.92913287,22636953446,26961.2423,31.1303909,7.75097E+11,10.00773665,81594568.85,0.140752072,51.24294805,48.75705195,7.862279987,7.748076806,71142463.28,6803.399579,796770.4284,22696809.52,81343263.16,38813666667,80571952381,8.890599783,3.686761029,33.5246939,5.82545993,9.74785E+11,30.34101758,5.229450631,8.71556E+11,1313.493082,100,100,99.2,98.96538462,53838254.54,64.67600998,17533005.63,21.10819674,44.32469913,705.4665991,3594.872258,44624.81,11352.27,35819.13636,82098.04545,74194.86,73.67257692,0.261378229,0.01746638
Ghana,GHA,ClusterC_1990,ClusterC_2015,C_1990-C_2015,CC,0,0,0,0,0,0,1,0,0,0,0,36.11043804,0.364477908,25.17179453,20858106.04,6.544119978,36.11043804,4767981489,1450.127513,25.17179453,3984065418,0.364477908,20575466.73,2.544494364,49.83813386,50.16186614,6.544119978,7.269999862,275391.1772,18.0338713,8500.340265,593238.1,0,617476190.5,542190476.2,5.291968421,10.67249057,32.03870366,14.67524406,5764793498,46.5200206,11.94394414,8174129360,1472.820065,61.58076923,73.18076923,11.12307692,6.384615385,7822742.12,31.2497263,40049.5,0.159185696,5.533836201,1.476776735,28.04672,0,20.5,962.6,202.4,102.29,45.45846154,4.137105298,0.914449936
Greece,GRC,ClusterA_1990,ClusterA_2015,A_1990-A_2015,AA,1,0,0,0,0,0,0,0,0,0,0,4.907272784,7.87807046,19.37508554,10799785.7,12.56031992,4.907272784,8740852713,13061.72676,19.37508554,37050312427,7.87807046,10801825.92,0.269164605,50.47561891,49.52438109,12.56031992,12.3473077,8010117.702,76.12222254,109191.4913,14735952.38,4713500,12147904762,3132761905,5.700546731,26.87565235,20.65978483,5.008119664,43208350383,29.0609428,3.886775757,59822010543,5360.573313,97,99.04230769,96.19230769,91.56153846,7115618.54,64.26375011,1697383.69,15.27338926,23.17250748,89.77345447,1962.445721,432.35,69.5,2455.36,499.44684,1683.17,74.08334615,0.616075479,0.016031744
Greenland,GRL,ClusterB_1990,ClusterB_2015,B_1990-B_2015,BB,0,0,0,1,0,0,0,0,0,0,0,13.33342301,9.9668307,16.18728711,56238.25926,7.7625,13.33342301,273585193.4,255421.6082,16.18728711,334617839.8,9.9668307,56240.27,0.056201643,0,0,0,9.965384593,0,0,0,0,0,0,0,0,0,33.31184678,0.048952959,704329179.5,65.5114387,1.882227398,1411575256,10657101.86,100,100,100,100,30390.77,53.5299788,9364.92,16.47952031,41.90906495,728.9905252,605.9809525,0,0,0,0,0,82.59973077,0.384731881,0
Grenada,GRD,ClusterB_1990,ClusterB_2015,B_1990-B_2015,BB,0,0,0,1,0,0,0,0,0,0,0,6.629462083,1.939930796,18.44006299,102327.037,0,6.629462083,31303797.17,4236.085813,18.44006299,92086891.65,1.939930796,102135.12,0.376206573,50.32806342,49.67193658,0,18.24249983,0,0,0,121509.52,0,102476190.5,9210526.32,2.791023559,54.16702693,31.25932733,0,172126823.9,51.68875138,0,299982423.5,1950.262239,95.3,96.58846154,98,98.3,45071.54,42.99664452,10810.92,10.27640558,15.70105342,54.86696158,0,0,21.25,0,0,0,35.27592308,0.622948948,0
Guatemala,GTM,ClusterC_1990,ClusterB_2015,C_1990-B_2015,CB,0,0,0,0,0,1,0,0,0,0,0,12.29314561,0.792713874,28.44433407,12660482.07,2.768880014,12.29314561,3944427478,2190.661567,28.44433407,7167526215,0.792713874,12509636.42,2.251639373,50.79483446,49.20516554,2.768880014,2.819333371,255134.2071,11.98353993,5166.4,1176571.43,729333.33,888000000,567952381,4.869331222,11.77425937,22.36557559,4.119526858,6522664842,32.62406806,6.115201984,9611275659,8700.177858,77.88461538,85.42692308,56.18846154,40.88076923,6935136.23,47.97427362,215931.5,1.42585344,7.476105896,9.366562264,30.00512875,19.31,243.96,0,0,0,46.21530769,3.160160565,0.434683783
Guinea,GIN,ClusterD_1990,ClusterD_2015,D_1990-D_2015,DD,0,0,0,0,0,0,0,0,0,0,1,21.81319539,0.191045686,34.96727506,9354652.963,6.836919994,21.81319539,809794307.6,219.6265041,34.96727506,1330845662,0.191045686,9237681,2.845078397,50.16280256,49.83719744,6.836919994,0,37820,0.977777756,840,41605.26,0,4257769.23,37421052.63,2.98013395,0.494704602,27.12878165,1.112242604,1086900592,34.54623627,3.068067118,1479927484,24472.6951,53.8,65.15,14.18846154,8.407692308,2010583.44,17.55003919,750,0.006411387,1.335917916,0.30936479,0,0,0,0,0,0,32.15115385,3.969494501,0
Guinea-Bissau,GNB,ClusterD_1990,ClusterD_2015,D_1990-D_2015,DD,0,0,0,0,0,0,0,0,0,0,1,49.41088203,0.15336335,13.70862135,1359561.63,6.655480022,49.41088203,228310882.3,823.2687679,13.70862135,67277427.93,0.15336335,1342017.92,2.241627236,51.07138782,48.92861218,6.655480022,0,20488.88889,0.100000002,1200,23650,0,10571428.57,21412500,11.19601005,7.243655423,17.429236,6.518421162,105279832.6,32.9980532,6.342082224,174364592.3,11848.37091,46.00769231,56.81538462,15.43636364,5.396153846,284596,17.2518801,1150.17,0.068032726,1.683644413,1.088812763,0,0,0,0,0,0,38.86115385,4.570831268,0
Guyana,GUY,ClusterC_1990,ClusterC_2015,C_1990-C_2015,CC,0,0,0,0,0,0,1,0,0,0,0,30.60670922,2.04363332,26.85867562,753995.1111,11.33044003,30.60670922,298369351,7579.389314,26.85867562,278104921.6,2.04363332,753252.5,0.116085932,50.22749961,49.77250039,11.33044003,11.81000042,119709.1095,2.045828904,3483.388889,125619.05,0,67095238.1,61190476.19,5.655845318,7.878903988,80.02822612,0,848094393.5,99.80406423,0,1153413844,319585.8046,85.45769231,88.3,80.10384615,77.57692308,229714.5,29.30865736,21379.5,2.67783853,16.72166269,7.455248553,0,0,14,0,0,0,28.68757692,-0.03189037,0
